producto,title,canonical_url,brand,breadcrumbs,main_category,sub_category,sub_sub_category,main_amazon_category,estimated_views,estimated_purchases,month,site
975046c5-f421-4e51-a074-4ce0a11b923c,producto 2,tienda.com/categoria1/productoA,marca2,keyword3-keyword4-keyword5,categoria2,subcategoria2,subsubcategoria2,category3,6051.29,2735.23,02,Mercado Libre
d1da9a7f-b10b-4f21-989f-e44fe8b67148,producto 1,tienda.com/categoria1/productoC,marca3,keyword2-keyword3-keyword4,categoria1,subcategoria2,subsubcategoria3,category1,7109.93,289.24,08,El Palacio de Hierro
cb2e6857-c6c0-4a81-897b-a502dc2c3f62,producto 2,tienda.com/categoria1/productoA,marca2,keyword1-keyword2-keyword3,categoria2,subcategoria1,subsubcategoria1,category2,3689.42,5390.05,10,El Palacio de Hierro
aab80a97-7dc2-4ea0-9a0a-2ad6534a78ca,producto 2,tienda.com/categoria1/productoB,marca2,keyword3-keyword4-keyword5,categoria3,subcategoria1,subsubcategoria1,category2,3645.75,5243.68,07,Liverpool
6197a258-3fb1-4450-900a-8dd66a54a5e1,producto 3,tienda.com/categoria1/productoA,marca1,keyword3-keyword4-keyword5,categoria2,subcategoria1,subsubcategoria2,category3,5907.54,8450.52,02,Best Buy
3a918b1c-2885-46bc-8ad6-4444ee3b8dec,producto 3,tienda.com/categoria1/productoC,marca3,keyword2-keyword3-keyword4,categoria2,subcategoria2,subsubcategoria3,category3,1686.29,1099.83,01,Amazon
8fc0d43e-89dd-4daf-803a-7a7e2a60e06e,producto 3,tienda.com/categoria1/productoB,marca3,keyword2-keyword3-keyword4,categoria3,subcategoria2,subsubcategoria3,category1,9262.68,671.23,09,Office Depot
6ac42b17-5d06-4dbb-b176-30ba140bed0e,producto 1,tienda.com/categoria1/productoB,marca1,keyword1-keyword2-keyword3,categoria2,subcategoria3,subsubcategoria3,category2,1051.34,8764.61,12,Mercado Libre
59be06ee-8fdd-4c7b-9151-a55c154ad008,producto 1,tienda.com/categoria1/productoB,marca3,keyword1-keyword2-keyword3,categoria3,subcategoria1,subsubcategoria3,category1,8284.55,6182.51,02,El Palacio de Hierro
56244a76-0960-4a48-8aca-5ad3ac5e1f2e,producto 3,tienda.com/categoria1/productoC,marca1,keyword1-keyword2-keyword3,categoria2,subcategoria1,subsubcategoria2,category3,6738.79,7811.6,05,Office Depot
d0be1540-cf02-4132-a1be-59c13d5f93ab,producto 3,tienda.com/categoria1/productoA,marca1,keyword3-keyword4-keyword5,categoria3,subcategoria3,subsubcategoria1,category2,5604.59,3585.03,14,El Palacio de Hierro
32fda75c-5911-4ad3-91c5-95699482cc5c,producto 3,tienda.com/categoria1/productoA,marca3,keyword2-keyword3-keyword4,categoria1,subcategoria2,subsubcategoria3,category1,4448.54,4377.76,15,Liverpool
6622ef0a-228a-45bf-9852-51b5794e6e8c,producto 1,tienda.com/categoria1/productoC,marca2,keyword1-keyword2-keyword3,categoria1,subcategoria2,subsubcategoria2,category1,4300.74,2086.09,09,Amazon
eef12c23-2aa5-45e1-bb05-ea8a9d5d9a9d,producto 2,tienda.com/categoria1/productoB,marca3,keyword3-keyword4-keyword5,categoria3,subcategoria3,subsubcategoria3,category1,5048.57,8248.43,05,Mercado Libre
a82caed8-66f2-4189-ae23-830c6ce8a224,producto 1,tienda.com/categoria1/productoB,marca1,keyword1-keyword2-keyword3,categoria3,subcategoria3,subsubcategoria1,category1,1618.77,388.93,10,El Palacio de Hierro
3271368f-4b7f-4eea-afc6-d1d0b5c555bd,producto 1,tienda.com/categoria1/productoB,marca1,keyword2-keyword3-keyword4,categoria3,subcategoria1,subsubcategoria2,category3,8846.19,6699.61,08,El Palacio de Hierro
92e22412-b971-4a99-9fa5-70fc6f40db6a,producto 3,tienda.com/categoria1/productoB,marca2,keyword3-keyword4-keyword5,categoria2,subcategoria2,subsubcategoria1,category1,6542.41,9494.99,09,Best Buy
9bc23f5d-ca95-49da-b793-703f487d77c9,producto 2,tienda.com/categoria1/productoA,marca3,keyword1-keyword2-keyword3,categoria2,subcategoria3,subsubcategoria3,category1,6665.36,9809.93,01,Liverpool
c1175105-3aec-4148-bda6-d876be280161,producto 2,tienda.com/categoria1/productoB,marca1,keyword3-keyword4-keyword5,categoria3,subcategoria2,subsubcategoria3,category3,8733.86,4821.67,02,Liverpool
fe762ba4-7ee9-4a88-a50f-3bb14bc1b4ff,producto 1,tienda.com/categoria1/productoC,marca2,keyword1-keyword2-keyword3,categoria3,subcategoria1,subsubcategoria3,category1,5990.69,963.88,11,Mercado Libre
918dca6a-9c56-475d-b0d7-ef460f541039,producto 2,tienda.com/categoria1/productoA,marca1,keyword3-keyword4-keyword5,categoria1,subcategoria2,subsubcategoria3,category3,5416.66,5823.0,14,Liverpool
837f341f-6971-4421-b023-6a0058708624,producto 2,tienda.com/categoria1/productoB,marca1,keyword3-keyword4-keyword5,categoria1,subcategoria2,subsubcategoria3,category1,7870.78,1828.58,10,Office Depot
38808809-9d1a-4cf4-8c8b-c87061a80536,producto 2,tienda.com/categoria1/productoA,marca3,keyword3-keyword4-keyword5,categoria2,subcategoria1,subsubcategoria2,category3,8770.6,795.52,04,El Palacio de Hierro
833a5663-8732-44c5-8417-1e142ac9b37c,producto 1,tienda.com/categoria1/productoC,marca2,keyword3-keyword4-keyword5,categoria1,subcategoria3,subsubcategoria2,category2,781.35,4370.75,07,El Palacio de Hierro
c83dea64-bfaa-4070-a6f6-da02460c2368,producto 1,tienda.com/categoria1/productoB,marca2,keyword1-keyword2-keyword3,categoria3,subcategoria2,subsubcategoria2,category1,1235.3,892.59,06,Liverpool
a45a6fb3-4745-4378-bc91-1a09d329917a,producto 1,tienda.com/categoria1/productoB,marca3,keyword1-keyword2-keyword3,categoria2,subcategoria3,subsubcategoria3,category3,9911.83,6550.99,01,Liverpool
81db7c6d-4130-4725-8f27-c52ed806e185,producto 3,tienda.com/categoria1/productoC,marca2,keyword3-keyword4-keyword5,categoria2,subcategoria1,subsubcategoria3,category2,531.51,4556.54,02,Liverpool
5eef96da-753c-4800-af21-00f05abc1081,producto 2,tienda.com/categoria1/productoB,marca3,keyword3-keyword4-keyword5,categoria3,subcategoria1,subsubcategoria2,category1,9521.96,73.46,13,Liverpool
073246d0-d67b-4761-8d77-2cde978a16f3,producto 2,tienda.com/categoria1/productoC,marca2,keyword1-keyword2-keyword3,categoria1,subcategoria2,subsubcategoria2,category1,2863.51,1862.02,03,Office Depot
e8405d8d-d7af-48ec-8f5f-7c51f740053a,producto 1,tienda.com/categoria1/productoB,marca1,keyword2-keyword3-keyword4,categoria3,subcategoria2,subsubcategoria1,category3,5282.93,4669.78,05,Amazon
9fb360e7-384e-49d7-bcf1-f64737f76357,producto 2,tienda.com/categoria1/productoA,marca3,keyword1-keyword2-keyword3,categoria3,subcategoria2,subsubcategoria1,category3,8804.4,293.72,13,Mercado Libre
fe7a29fd-1eb2-48e6-a2e1-798a2b0cbc2c,producto 2,tienda.com/categoria1/productoC,marca1,keyword3-keyword4-keyword5,categoria2,subcategoria3,subsubcategoria1,category1,6746.35,2389.74,14,El Palacio de Hierro
b15b3d2f-ab6c-41eb-bd04-a93b68c4ee56,producto 3,tienda.com/categoria1/productoA,marca2,keyword1-keyword2-keyword3,categoria2,subcategoria3,subsubcategoria3,category2,222.77,6192.05,08,Office Depot
90d750e8-62d6-493c-b8c3-df6c605228e0,producto 1,tienda.com/categoria1/productoC,marca3,keyword2-keyword3-keyword4,categoria2,subcategoria1,subsubcategoria2,category1,911.19,6378.25,06,Office Depot
53b8279d-1e95-4688-9aa4-e599b1db4de7,producto 2,tienda.com/categoria1/productoA,marca1,keyword3-keyword4-keyword5,categoria3,subcategoria2,subsubcategoria2,category1,1039.68,5653.32,14,Mercado Libre
5c2fe1a3-015f-4882-a2ed-2d1feab92f33,producto 1,tienda.com/categoria1/productoA,marca3,keyword1-keyword2-keyword3,categoria2,subcategoria3,subsubcategoria1,category3,8761.61,4776.59,12,Office Depot
67330c09-a054-49ce-bbd0-aad1c61a6611,producto 1,tienda.com/categoria1/productoA,marca1,keyword3-keyword4-keyword5,categoria3,subcategoria2,subsubcategoria2,category1,2636.86,7085.01,08,Amazon
d5046cd8-fe39-4190-8fb3-b8a32fab4104,producto 2,tienda.com/categoria1/productoC,marca3,keyword1-keyword2-keyword3,categoria3,subcategoria3,subsubcategoria3,category1,7185.28,8527.74,10,Amazon
aed68d08-daf2-4fce-9865-63150ee991ec,producto 1,tienda.com/categoria1/productoA,marca1,keyword2-keyword3-keyword4,categoria3,subcategoria2,subsubcategoria3,category2,2101.07,5473.8,10,Mercado Libre
5e17daff-6a6a-4623-aded-3b38e7738c6a,producto 1,tienda.com/categoria1/productoB,marca1,keyword3-keyword4-keyword5,categoria1,subcategoria3,subsubcategoria1,category2,1680.74,8045.84,06,El Palacio de Hierro
31cad20b-5630-409e-a5ec-a40c727a791e,producto 2,tienda.com/categoria1/productoC,marca1,keyword2-keyword3-keyword4,categoria2,subcategoria1,subsubcategoria1,category1,9335.63,8638.86,15,Office Depot
e600dc23-d810-4eab-bda2-b77ff1ba5310,producto 2,tienda.com/categoria1/productoB,marca3,keyword2-keyword3-keyword4,categoria1,subcategoria3,subsubcategoria3,category1,9076.74,1534.26,15,Amazon
06ffe6f5-db6e-48e5-bf4f-08bce9c0ba7b,producto 3,tienda.com/categoria1/productoC,marca1,keyword1-keyword2-keyword3,categoria1,subcategoria3,subsubcategoria3,category3,3592.96,9109.66,03,Liverpool
7247c32f-65d2-4460-bc3f-0302fea2b55d,producto 2,tienda.com/categoria1/productoC,marca2,keyword1-keyword2-keyword3,categoria1,subcategoria1,subsubcategoria1,category3,747.31,1860.44,10,Best Buy
b6787d7b-4f5e-4669-9a0c-1ee330499282,producto 2,tienda.com/categoria1/productoA,marca3,keyword1-keyword2-keyword3,categoria3,subcategoria3,subsubcategoria2,category3,4025.71,6906.7,08,Office Depot
487c3d6d-3f0d-475a-bf93-b6d63342bcc9,producto 2,tienda.com/categoria1/productoB,marca3,keyword3-keyword4-keyword5,categoria3,subcategoria3,subsubcategoria1,category3,9549.12,9782.34,10,El Palacio de Hierro
d2ba4e7d-e417-4f5d-b35a-b711a3eabbea,producto 2,tienda.com/categoria1/productoC,marca2,keyword3-keyword4-keyword5,categoria3,subcategoria1,subsubcategoria3,category3,3670.6,844.61,14,Best Buy
078cdd2a-1aa6-4864-b92a-d1d4e1debc67,producto 2,tienda.com/categoria1/productoB,marca3,keyword1-keyword2-keyword3,categoria2,subcategoria3,subsubcategoria1,category3,7874.44,7536.85,14,Office Depot
5612f400-47c3-4507-be9e-9c28bff20bff,producto 2,tienda.com/categoria1/productoA,marca3,keyword1-keyword2-keyword3,categoria2,subcategoria2,subsubcategoria3,category3,4673.39,5561.98,08,Liverpool
6dc40101-544a-40eb-8373-573dbcfa03de,producto 2,tienda.com/categoria1/productoA,marca3,keyword3-keyword4-keyword5,categoria3,subcategoria1,subsubcategoria1,category2,7898.21,3460.99,06,Liverpool
1ee1b5b3-c54e-410b-9179-e37a759d1dc7,producto 2,tienda.com/categoria1/productoB,marca2,keyword1-keyword2-keyword3,categoria2,subcategoria1,subsubcategoria1,category3,8395.52,1627.8,01,El Palacio de Hierro
3ae62d0c-f0a7-4c89-a2fa-51fd8c8dab23,producto 3,tienda.com/categoria1/productoC,marca3,keyword2-keyword3-keyword4,categoria1,subcategoria2,subsubcategoria2,category2,7768.68,3751.77,15,Amazon
9752ff5c-6e54-43f5-af32-be2b7ba456e9,producto 1,tienda.com/categoria1/productoA,marca1,keyword1-keyword2-keyword3,categoria2,subcategoria1,subsubcategoria3,category3,4896.48,8277.42,06,Office Depot
322ef9ab-05e0-400c-975e-1ac2e26dae5d,producto 2,tienda.com/categoria1/productoB,marca1,keyword3-keyword4-keyword5,categoria2,subcategoria1,subsubcategoria2,category1,5251.46,7605.43,08,Amazon
48a996e3-e474-4ef5-a31d-4c0bdeeaf87f,producto 3,tienda.com/categoria1/productoB,marca2,keyword2-keyword3-keyword4,categoria3,subcategoria2,subsubcategoria3,category1,7320.03,735.63,07,El Palacio de Hierro
5c9f2978-40f0-4862-8f78-36597e4378d6,producto 3,tienda.com/categoria1/productoA,marca3,keyword2-keyword3-keyword4,categoria3,subcategoria2,subsubcategoria1,category3,8357.27,8882.48,01,Liverpool
65623af5-5beb-4d6b-932c-1fe9dee6c054,producto 3,tienda.com/categoria1/productoB,marca2,keyword3-keyword4-keyword5,categoria3,subcategoria3,subsubcategoria3,category1,8401.88,3431.85,01,Liverpool
eaae0fe4-036b-4eb2-9442-e1f39712c919,producto 3,tienda.com/categoria1/productoB,marca3,keyword2-keyword3-keyword4,categoria2,subcategoria3,subsubcategoria2,category1,3170.56,9392.02,04,Best Buy
1aab3786-ace5-43cc-b8e1-e2c10c3fe820,producto 2,tienda.com/categoria1/productoC,marca1,keyword2-keyword3-keyword4,categoria2,subcategoria3,subsubcategoria2,category1,9760.29,8049.24,04,Mercado Libre
0249ce5b-b904-46a7-a13c-6aef71361412,producto 3,tienda.com/categoria1/productoC,marca3,keyword3-keyword4-keyword5,categoria1,subcategoria3,subsubcategoria3,category3,9619.97,5214.56,15,El Palacio de Hierro
ddf68fba-0f63-4422-9a8a-854dc1973bab,producto 1,tienda.com/categoria1/productoA,marca1,keyword2-keyword3-keyword4,categoria1,subcategoria1,subsubcategoria1,category3,8811.45,9396.14,09,Mercado Libre
b8904d15-84ec-4b32-bc27-1da4af101446,producto 3,tienda.com/categoria1/productoB,marca3,keyword2-keyword3-keyword4,categoria2,subcategoria1,subsubcategoria3,category2,6965.91,5489.69,03,Amazon
5e1b83d2-6e4c-45a4-842b-4be7c82569e5,producto 1,tienda.com/categoria1/productoB,marca1,keyword1-keyword2-keyword3,categoria1,subcategoria2,subsubcategoria3,category2,5804.01,762.83,05,Office Depot
58085876-57ae-4e31-9889-1c9f050e49a7,producto 3,tienda.com/categoria1/productoC,marca2,keyword2-keyword3-keyword4,categoria2,subcategoria2,subsubcategoria3,category3,7509.35,723.05,09,Best Buy
94ac3598-6666-4dfd-ab59-1a36c10e85f4,producto 3,tienda.com/categoria1/productoC,marca2,keyword1-keyword2-keyword3,categoria1,subcategoria2,subsubcategoria2,category1,5282.27,1950.86,01,Best Buy
d64570dc-5922-4d4e-9e83-2c766100ef98,producto 1,tienda.com/categoria1/productoB,marca3,keyword1-keyword2-keyword3,categoria1,subcategoria1,subsubcategoria3,category1,292.11,1333.98,01,Amazon
68155c39-318f-420b-9afb-1821672f9dc3,producto 2,tienda.com/categoria1/productoB,marca2,keyword2-keyword3-keyword4,categoria3,subcategoria3,subsubcategoria1,category3,3030.95,4572.65,06,Liverpool
428cf366-4ca0-47ac-aff4-660a11213864,producto 2,tienda.com/categoria1/productoB,marca2,keyword2-keyword3-keyword4,categoria1,subcategoria3,subsubcategoria2,category3,2116.04,1091.53,08,Liverpool
b9c5acc2-2c8d-4cd6-b700-6403a2dfb534,producto 3,tienda.com/categoria1/productoC,marca2,keyword2-keyword3-keyword4,categoria2,subcategoria1,subsubcategoria3,category1,6389.01,5477.72,02,Office Depot
712a0104-adb2-4076-9e73-82e3c40268fe,producto 2,tienda.com/categoria1/productoC,marca3,keyword3-keyword4-keyword5,categoria2,subcategoria3,subsubcategoria1,category1,2419.73,1321.86,06,Liverpool
e6c26b99-fa67-4c61-b84d-8638194433b4,producto 3,tienda.com/categoria1/productoC,marca3,keyword1-keyword2-keyword3,categoria3,subcategoria1,subsubcategoria3,category2,2629.49,4526.21,01,Liverpool
955f8f3f-6aa3-4892-b22e-1e59102278cb,producto 1,tienda.com/categoria1/productoB,marca1,keyword2-keyword3-keyword4,categoria2,subcategoria3,subsubcategoria2,category3,9575.54,6285.19,03,Mercado Libre
febba4ce-a844-4cc7-bbcf-3be174cd0962,producto 3,tienda.com/categoria1/productoC,marca2,keyword1-keyword2-keyword3,categoria3,subcategoria3,subsubcategoria2,category2,6197.81,8054.11,06,Liverpool
16ef5cf3-0345-451d-a1c7-b77f786e9ac1,producto 2,tienda.com/categoria1/productoC,marca1,keyword1-keyword2-keyword3,categoria3,subcategoria1,subsubcategoria1,category2,9915.26,6055.24,14,Amazon
1d3c699b-13a2-455b-b81b-e1f79ee28dfe,producto 1,tienda.com/categoria1/productoB,marca2,keyword3-keyword4-keyword5,categoria3,subcategoria3,subsubcategoria3,category2,502.72,2505.89,08,El Palacio de Hierro
2e8eb9cf-8f30-4163-8fc2-5a90221c8a50,producto 2,tienda.com/categoria1/productoC,marca3,keyword1-keyword2-keyword3,categoria3,subcategoria1,subsubcategoria3,category3,2544.54,7253.35,15,Mercado Libre
9e479b2e-d3f1-4dfb-8885-db7393e5fecb,producto 2,tienda.com/categoria1/productoB,marca1,keyword1-keyword2-keyword3,categoria2,subcategoria3,subsubcategoria1,category3,5717.77,7536.99,02,El Palacio de Hierro
56516ca8-d94a-4efe-aaf7-7c2c95ff2993,producto 2,tienda.com/categoria1/productoA,marca2,keyword1-keyword2-keyword3,categoria1,subcategoria2,subsubcategoria1,category2,9587.39,9461.13,01,Amazon
2011f9a3-9052-4ede-ab74-fbb4f8fbf424,producto 2,tienda.com/categoria1/productoC,marca2,keyword2-keyword3-keyword4,categoria2,subcategoria2,subsubcategoria2,category3,4078.42,3348.47,10,El Palacio de Hierro
936480a1-7968-4c2d-a5a7-a1fbccfac0a9,producto 3,tienda.com/categoria1/productoC,marca3,keyword1-keyword2-keyword3,categoria2,subcategoria3,subsubcategoria1,category3,6604.31,3135.91,13,Office Depot
fb81ea12-4bc8-4e9c-b950-123e0d7b4659,producto 1,tienda.com/categoria1/productoC,marca2,keyword3-keyword4-keyword5,categoria1,subcategoria3,subsubcategoria3,category3,7553.31,4442.48,08,Amazon
c0f98670-b9d7-4088-9317-9bf202c3c4ea,producto 3,tienda.com/categoria1/productoA,marca3,keyword2-keyword3-keyword4,categoria2,subcategoria2,subsubcategoria1,category1,98.22,3722.82,01,Liverpool
a6c1ba0f-c699-4964-8215-c8c552626707,producto 1,tienda.com/categoria1/productoB,marca2,keyword3-keyword4-keyword5,categoria3,subcategoria2,subsubcategoria1,category3,9008.8,6140.47,10,Amazon
cc4c8704-3c0a-49d6-99ba-a8a25fe070d0,producto 1,tienda.com/categoria1/productoB,marca1,keyword3-keyword4-keyword5,categoria3,subcategoria1,subsubcategoria3,category2,7406.47,4354.33,11,Liverpool
f7141a5b-ba7b-42ca-a049-9598d4feffed,producto 2,tienda.com/categoria1/productoA,marca3,keyword3-keyword4-keyword5,categoria2,subcategoria1,subsubcategoria3,category1,4012.04,2034.3,10,Best Buy
917548c2-c47e-47cd-8c71-a6d8818e52f9,producto 1,tienda.com/categoria1/productoB,marca1,keyword3-keyword4-keyword5,categoria2,subcategoria3,subsubcategoria3,category1,5791.65,1105.53,06,El Palacio de Hierro
ffdcb3ba-cd03-4837-8886-5b154848c15b,producto 3,tienda.com/categoria1/productoB,marca1,keyword3-keyword4-keyword5,categoria1,subcategoria1,subsubcategoria1,category3,2634.02,7448.49,06,Liverpool
4ff9467d-2f9f-4d03-a4c7-292acde7e58b,producto 2,tienda.com/categoria1/productoC,marca1,keyword3-keyword4-keyword5,categoria2,subcategoria3,subsubcategoria3,category1,6716.21,3949.19,02,Amazon
9bda21c5-f42f-417f-9617-10c61d692390,producto 2,tienda.com/categoria1/productoB,marca3,keyword1-keyword2-keyword3,categoria2,subcategoria2,subsubcategoria3,category2,8377.54,5106.84,04,Liverpool
ee24ebb4-35bf-44fe-9c1c-e9fa1544403e,producto 2,tienda.com/categoria1/productoA,marca1,keyword3-keyword4-keyword5,categoria1,subcategoria3,subsubcategoria2,category3,7529.68,2092.58,09,Office Depot
d2775709-ff1f-499e-9bf0-c9a1fcd433c3,producto 3,tienda.com/categoria1/productoB,marca3,keyword2-keyword3-keyword4,categoria3,subcategoria1,subsubcategoria1,category3,5025.14,5010.77,01,Liverpool
b607d654-0dee-40a5-aabc-f5a49ae4422c,producto 1,tienda.com/categoria1/productoC,marca1,keyword2-keyword3-keyword4,categoria1,subcategoria1,subsubcategoria1,category2,5281.46,8967.82,12,Best Buy
2ea78457-c8d6-432c-a593-76cb220a26af,producto 1,tienda.com/categoria1/productoC,marca3,keyword2-keyword3-keyword4,categoria3,subcategoria2,subsubcategoria3,category3,9458.66,9671.53,03,Amazon
c53046d8-d42a-4836-9cce-e2233034024c,producto 1,tienda.com/categoria1/productoC,marca2,keyword1-keyword2-keyword3,categoria3,subcategoria2,subsubcategoria3,category3,117.86,1255.4,07,El Palacio de Hierro
e25596ae-bf34-4881-a24d-c9da454d3dda,producto 2,tienda.com/categoria1/productoC,marca2,keyword1-keyword2-keyword3,categoria2,subcategoria2,subsubcategoria3,category1,16.98,2944.48,09,Amazon
d20cbf51-8987-4a55-aecc-13c16a42a134,producto 3,tienda.com/categoria1/productoB,marca2,keyword2-keyword3-keyword4,categoria3,subcategoria1,subsubcategoria3,category3,922.14,3243.13,15,El Palacio de Hierro
da9a6a46-685b-45ab-b64d-3565ee6964c5,producto 3,tienda.com/categoria1/productoA,marca3,keyword2-keyword3-keyword4,categoria3,subcategoria2,subsubcategoria1,category3,8657.24,5494.42,14,Best Buy
44ae826c-3fb0-42c2-95c6-1c73df140ce3,producto 1,tienda.com/categoria1/productoC,marca1,keyword3-keyword4-keyword5,categoria1,subcategoria1,subsubcategoria3,category2,9023.52,3204.0,15,Liverpool
04ea4a5a-1ea1-4304-bd6e-0dd842bf04a3,producto 2,tienda.com/categoria1/productoC,marca2,keyword1-keyword2-keyword3,categoria1,subcategoria1,subsubcategoria2,category3,8837.65,5817.08,02,Mercado Libre
48a41c7a-6bc2-47f6-9890-2f57d7db0204,producto 3,tienda.com/categoria1/productoB,marca1,keyword2-keyword3-keyword4,categoria3,subcategoria3,subsubcategoria3,category2,4719.18,226.28,06,Mercado Libre
0e02caf5-458e-4c7b-9d78-46bf5dea4a4a,producto 1,tienda.com/categoria1/productoB,marca2,keyword1-keyword2-keyword3,categoria1,subcategoria3,subsubcategoria2,category2,9625.32,3463.55,12,El Palacio de Hierro
6c4f3a76-da89-4090-bbec-150e6a975b6a,producto 2,tienda.com/categoria1/productoA,marca1,keyword1-keyword2-keyword3,categoria2,subcategoria3,subsubcategoria3,category3,513.17,605.53,11,El Palacio de Hierro
f0b1ff7d-4d01-491b-a598-3c08033cef06,producto 1,tienda.com/categoria1/productoA,marca3,keyword1-keyword2-keyword3,categoria1,subcategoria2,subsubcategoria3,category2,6038.65,1522.33,01,Office Depot
627d870b-4561-419b-ae85-b0660863c3d9,producto 1,tienda.com/categoria1/productoA,marca2,keyword2-keyword3-keyword4,categoria3,subcategoria3,subsubcategoria2,category2,6812.57,9042.93,15,Office Depot
1f16ce82-b885-48ee-b4dd-5de829bb0482,producto 1,tienda.com/categoria1/productoA,marca1,keyword1-keyword2-keyword3,categoria1,subcategoria1,subsubcategoria3,category1,55.12,1043.11,03,Office Depot
c5640fec-5b6a-4f69-858f-131dc21fcc28,producto 1,tienda.com/categoria1/productoC,marca1,keyword2-keyword3-keyword4,categoria2,subcategoria1,subsubcategoria2,category2,2726.86,2187.87,12,Mercado Libre
8a33542d-dadc-47ff-a501-89d2e5d8e732,producto 2,tienda.com/categoria1/productoA,marca2,keyword1-keyword2-keyword3,categoria3,subcategoria1,subsubcategoria2,category2,180.06,9751.18,08,El Palacio de Hierro
00d20d2b-6202-49c4-a27a-3d5dcfb3647a,producto 1,tienda.com/categoria1/productoC,marca2,keyword3-keyword4-keyword5,categoria1,subcategoria2,subsubcategoria2,category3,6618.19,2976.96,07,Office Depot
5b27c181-69d6-4c67-b7d3-5608b70b7fbd,producto 3,tienda.com/categoria1/productoB,marca3,keyword3-keyword4-keyword5,categoria1,subcategoria3,subsubcategoria2,category3,6976.56,8389.09,12,Mercado Libre
e0ce7aa0-d4a7-47a9-b4c1-dc3608a52ffc,producto 2,tienda.com/categoria1/productoA,marca1,keyword3-keyword4-keyword5,categoria3,subcategoria2,subsubcategoria2,category3,5969.67,9179.06,11,Best Buy
83d6091a-a9b6-4489-a12c-5c36499a3ed0,producto 1,tienda.com/categoria1/productoC,marca2,keyword1-keyword2-keyword3,categoria2,subcategoria1,subsubcategoria2,category3,7294.34,81.29,07,Best Buy
a95ee9c6-cda4-46e1-9669-943699d3e9fa,producto 3,tienda.com/categoria1/productoC,marca1,keyword2-keyword3-keyword4,categoria3,subcategoria3,subsubcategoria3,category2,5010.64,918.23,03,Mercado Libre
6f8e9eeb-6086-4cc1-a992-b73373284b02,producto 3,tienda.com/categoria1/productoA,marca2,keyword2-keyword3-keyword4,categoria1,subcategoria3,subsubcategoria1,category3,3706.79,6581.53,14,Amazon
c2677ab0-9daa-4f5a-af6f-e065c255c9a8,producto 1,tienda.com/categoria1/productoB,marca2,keyword1-keyword2-keyword3,categoria1,subcategoria3,subsubcategoria2,category3,4212.8,4866.73,02,Mercado Libre
11f07ca9-d100-430f-bd80-742163928703,producto 2,tienda.com/categoria1/productoA,marca1,keyword3-keyword4-keyword5,categoria3,subcategoria2,subsubcategoria1,category1,2194.05,3997.25,10,Amazon
d34e5936-6eb5-41df-972c-f60ec2c23a20,producto 2,tienda.com/categoria1/productoA,marca2,keyword2-keyword3-keyword4,categoria1,subcategoria1,subsubcategoria1,category3,2213.86,8914.61,14,Amazon
f98eb268-7969-4b67-bb67-d45f3ff8d4c0,producto 2,tienda.com/categoria1/productoA,marca3,keyword3-keyword4-keyword5,categoria1,subcategoria1,subsubcategoria3,category1,7278.85,1535.18,02,Best Buy
